Symbol,Weight
ASML,12.076038
SIE,4.570803
TTE,3.848558
SAP,3.634669
SU,3.496624
ALV,3.306158
IBE,2.845913
MC,2.830349
ENR,2.63701
BBVA,2.541227
SAF,2.510422
UCG,2.48379
AI,2.46819
AIR,2.378267
IFX,2.2724
DTE,2.248255
BNP,2.230233
OR,2.126737
SAN,2.003648
ISP,1.986398
ENEL,1.733221
INGA,1.688527
ABI,1.650152
DG,1.643786
CS,1.629391
ITX,1.423802
MUV2,1.37077
RMS,1.345434
EL,1.294031
RHM,1.277288
NDA FI,1.255463
DBK,1.201856
PRX,1.126796
DHL,1.125917
ARGX,1.078919
DB1,1.052828
ENI,1.032187
BAS,0.996141
BN,0.961523
SGO,0.856856
RACE,0.854014
BAYN,0.800112
MBG,0.789906
AD,0.732849
ADS,0.69059
ADYEN,0.597104
BMW,0.440437
VOW3,0.412428
WKL,0.342814
VGM6,0.02719
